058-360-0.8-3,18.422
,
059-360-1.0-1,18.797
,
059-360-1.0-2,19.355
,
059-360-1.0-3,21.078
,
060-360-1.2-1,42.315
,
060-360-1.2-2,46.65
,
060-360-1.2-3,48.223
,
061-380-0.4-1,10.608
,
061-380-0.4-2,12.537
,
061-380-0.4-3,10.96
,
062-380-0.6-1,22.112
,
062-380-0.6-2,21.579
,
062-380-0.6-3,21.857
,
063-380-0.8-1,15.04
,
063-380-0.8-2,16.258
,
063-380-0.8-3,15.343
,
064-380-1.0-1,57.977
,
064-380-1.0-2,58.479
,
064-380-1.0-3,51.815
,
065-380-1.2-1,46.287
,
065-380-1.2-2,39.384
,
065-380-1.2-3,38.124
